question,intent,clean_question
Kindly show the shipping performance.,shipping_analysis,kindly show the shipping performance
Provide detailed total orders.,order_count,provide detailed total orders
Generate a report for lowest profit product.,lowest_profit_product,generate a report for lowest profit product
Can I see the business sales?,total_sales,can i see the business sales
Tell me top profit product.,highest_profit_product,tell me top profit product
Can you tell me the average turnover?,average_sales,can you tell me the average turnover
Show the quantity sold,quantity_analysis,show the quantity sold
Display the top selling states.,top_states,display the top selling states
Display overall year wise sales,yearly_sales,display overall year wise sales
Create a report for average sales.,average_sales,create a report for average sales
Show overall city performance,top_cities,show overall city performance
I'd like the subcategory sales.,sales_by_subcategory,id like the subcategory sales
Tell me the executive summary.,dashboard_summary,tell me the executive summary
I'd like to know the average turnover.,average_sales,id like to know the average turnover
Summarize the bottom 10 customers.,bottom_customers,summarize the bottom 10 customers
Can you reveal the profit across categories?,category_profit,can you reveal the profit across categories
Kindly display the total customers.,customer_count,kindly display the total customers
Calculate grand total sales,total_sales,calculate grand total sales
How much is the profit by year?,yearly_profit,how much is the profit by year
Kindly give the total earnings.,total_profit,kindly give the total earnings
Could you provide the lowest performing region?,worst_region,could you provide the lowest performing region
Show complete executive summary,dashboard_summary,show complete executive summary
Provide the sales for each category.,sales_by_category,provide the sales for each category
Show complete month wise sales,monthly_sales,show complete month wise sales
Show the sales for each category,sales_by_category,show the sales for each category
Can you analyze sales across categories?,sales_by_category,can you analyze sales across categories
Please display sales by category.,sales_by_category,please display sales by category
Please show overall discount.,discount_analysis,please show overall discount
Display complete overall dashboard.,dashboard_summary,display complete overall dashboard
Show complete executive summary.,dashboard_summary,show complete executive summary
Show me overall dashboard.,dashboard_summary,show me overall dashboard
Explain the sales across categories.,sales_by_category,explain the sales across categories
I want the sales by subcategory.,sales_by_subcategory,i want the sales by subcategory
Display all average earnings,average_profit,display all average earnings
Reveal total earnings.,total_profit,reveal total earnings
Kindly analyze the category profit.,category_profit,kindly analyze the category profit
Show complete lowest spending customers.,bottom_customers,show complete lowest spending customers
Display latest executive summary.,dashboard_summary,display latest executive summary
Show all total customers,customer_count,show all total customers
Can you calculate mean sales?,average_sales,can you calculate mean sales
Display overall total earnings,total_profit,display overall total earnings
Reveal the profit by region,region_profit,reveal the profit by region
Review region wise profit.,region_profit,review region wise profit
Find the sales increase.,sales_growth,find the sales increase
Generate complete stock overview,inventory_summary,generate complete stock overview
Kindly tell me the average sales.,average_sales,kindly tell me the average sales
Please reveal sales for each category.,sales_by_category,please reveal sales for each category
How much is discount analysis?,discount_analysis,how much is discount analysis
Could you reveal the most profitable product?,highest_profit_product,could you reveal the most profitable product
Show me category performance.,sales_by_category,show me category performance
Generate the city performance.,bottom_cities,generate the city performance
Inspect worst sales region.,worst_region,inspect worst sales region
Can you display the discount percentage?,discount_analysis,can you display the discount percentage
Can you reveal the lowest sales states?,bottom_states,can you reveal the lowest sales states
Display complete month wise profit,monthly_profit,display complete month wise profit
Give me lowest sales cities.,bottom_cities,give me lowest sales cities
Could you give the overall dashboard?,dashboard_summary,could you give the overall dashboard
Can you display average business sales?,average_sales,can you display average business sales
Can you display the least popular products?,bottom_products,can you display the least popular products
How much is the annual revenue?,yearly_sales,how much is the annual revenue
I want monthly business sales.,monthly_sales,i want monthly business sales
Plot city performance.,top_cities,plot city performance
Compare profit across regions,region_profit,compare profit across regions
Fetch the sales by segment.,sales_by_segment,fetch the sales by segment
Tell me the sales by month.,monthly_sales,tell me the sales by month
Tell me total earnings,total_profit,tell me total earnings
Compare least profitable product.,lowest_profit_product,compare least profitable product
Display the most profitable product.,highest_profit_product,display the most profitable product
Inspect top selling states.,top_states,inspect top selling states
Give me the least profitable region.,worst_region,give me the least profitable region
Can you show sales by category?,sales_by_category,can you show sales by category
Reveal the overall sales,total_sales,reveal the overall sales
Give business overview,dashboard_summary,give business overview
Display overall average discount,discount_analysis,display overall average discount
Show me best profit item.,highest_profit_product,show me best profit item
Can you show sales increase?,sales_growth,can you show sales increase
Please give average profit.,average_profit,please give average profit
Create dashboard for company profit.,total_profit,create dashboard for company profit
View stock summary.,inventory_summary,view stock summary
Please calculate subcategory performance.,sales_by_subcategory,please calculate subcategory performance
Show me the segment sales.,sales_by_segment,show me the segment sales
Show highest spending customers,top_customers,show highest spending customers
Display complete highest spending customers.,top_customers,display complete highest spending customers
Calculate the year wise sales,yearly_sales,calculate the year wise sales
Show complete segment performance,sales_by_segment,show complete segment performance
Can I see business overview?,dashboard_summary,can i see business overview
Could you calculate the average turnover?,average_sales,could you calculate the average turnover
Can you display subcategory wise sales?,sales_by_subcategory,can you display subcategory wise sales
Can you provide highest sales cities?,top_cities,can you provide highest sales cities
Tell me lowest earning product.,lowest_profit_product,tell me lowest earning product
Find overall most profitable product,highest_profit_product,find overall most profitable product
Provide all city performance,bottom_cities,provide all city performance
Can you find sales increase?,sales_growth,can you find sales increase
Display all total earnings,total_profit,display all total earnings
Show latest sales growth.,sales_growth,show latest sales growth
I need the total orders.,order_count,i need the total orders
Can you analyze sales by subcategory?,sales_by_subcategory,can you analyze sales by subcategory
Display complete growth in sales.,sales_growth,display complete growth in sales
Analyze region profit performance,region_profit,analyze region profit performance
Show overall best profit item,highest_profit_product,show overall best profit item
Create a report for sales across subcategories.,sales_by_subcategory,create a report for sales across subcategories
Give the number of orders,order_count,give the number of orders
Display latest registered customers.,customer_count,display latest registered customers
Create a report for best cities.,top_cities,create a report for best cities
Can you give bottom products?,bottom_products,can you give bottom products
Review subcategory wise sales.,sales_by_subcategory,review subcategory wise sales
Summarize registered customers.,customer_count,summarize registered customers
Tell me average revenue.,average_sales,tell me average revenue
Identify overall bottom 10 customers,bottom_customers,identify overall bottom 10 customers
Please give average sales.,average_sales,please give average sales
Provide detailed business profit.,total_profit,provide detailed business profit
Compare the category profit,category_profit,compare the category profit
Provide all best performing states,top_states,provide all best performing states
I want category profit performance.,category_profit,i want category profit performance
Generate the customer segment sales.,sales_by_segment,generate the customer segment sales
Display lowest earning product.,lowest_profit_product,display lowest earning product
Can you show the best customers?,top_customers,can you show the best customers
Reveal all most valuable customers,top_customers,reveal all most valuable customers
Could you display the best profit item?,highest_profit_product,could you display the best profit item
Show insights for overall sales.,total_sales,show insights for overall sales
How much is the average sales amount?,average_sales,how much is the average sales amount
Please display lowest selling products.,bottom_products,please display lowest selling products
Generate company profit.,total_profit,generate company profit
Find the lowest earning product.,lowest_profit_product,find the lowest earning product
Compare worst region.,worst_region,compare worst region
Display the segment sales.,sales_by_segment,display the segment sales
Please give most valuable customers.,top_customers,please give most valuable customers
Provide complete lowest performing region,worst_region,provide complete lowest performing region
Reveal the shipping analysis.,shipping_analysis,reveal the shipping analysis
Provide most valuable customers.,top_customers,provide most valuable customers
Can you provide the least profitable cities?,bottom_cities,can you provide the least profitable cities
Can you tell me the average gross profit?,average_profit,can you tell me the average gross profit
Find overall sales,total_sales,find overall sales
I'd like to know the subcategory sales.,sales_by_subcategory,id like to know the subcategory sales
Generate overall profit.,total_profit,generate overall profit
Find discount offered.,discount_analysis,find discount offered
Please give top 10 customers.,top_customers,please give top 10 customers
Show me the top profit product.,highest_profit_product,show me the top profit product
Display complete sales by segment,sales_by_segment,display complete sales by segment
What is the sales by month?,monthly_sales,what is the sales by month
Kindly show the lowest selling products.,bottom_products,kindly show the lowest selling products
Display the worst performing cities,bottom_cities,display the worst performing cities
Can you provide the month wise profit?,monthly_profit,can you provide the month wise profit
Analyze complete profit by region,region_profit,analyze complete profit by region
Can you show the stock summary?,inventory_summary,can you show the stock summary
Please provide average business profit.,average_profit,please provide average business profit
Display all business overview,dashboard_summary,display all business overview
Reveal overall company profit,total_profit,reveal overall company profit
Can you show the sales by month?,monthly_sales,can you show the sales by month
Provide least profitable cities.,bottom_cities,provide least profitable cities
Reveal all lowest performing region,worst_region,reveal all lowest performing region
Show complete shipping mode,shipping_analysis,show complete shipping mode
Give complete overall orders.,order_count,give complete overall orders
Can you reveal customer segment sales?,sales_by_segment,can you reveal customer segment sales
Could you show the ship mode analysis?,shipping_analysis,could you show the ship mode analysis
Find least valuable customers.,bottom_customers,find least valuable customers
Kindly show the lowest performing region.,worst_region,kindly show the lowest performing region
Give detailed overall earnings.,total_profit,give detailed overall earnings
Display the lowest earning product,lowest_profit_product,display the lowest earning product
Analyze performance of profit across regions.,region_profit,analyze performance of profit across regions
Show complete overall earnings.,total_profit,show complete overall earnings
Display all annual sales,yearly_sales,display all annual sales
Fetch the net profit.,total_profit,fetch the net profit
Find business summary.,dashboard_summary,find business summary
Reveal top customers,top_customers,reveal top customers
Review number of customers.,customer_count,review number of customers
Generate all dashboard summary,dashboard_summary,generate all dashboard summary
I'd like to know the category sales.,sales_by_category,id like to know the category sales
Tell me the average net profit.,average_profit,tell me the average net profit
I'd like the bottom states.,bottom_states,id like the bottom states
Display number of orders.,order_count,display number of orders
What is monthly business sales?,monthly_sales,what is monthly business sales
Provide the monthly business profit.,monthly_profit,provide the monthly business profit
Provide the top cities.,top_cities,provide the top cities
Identify lowest sales region,worst_region,identify lowest sales region
I need the mean sales.,average_sales,i need the mean sales
Please give total sales.,total_sales,please give total sales
Find complete overall revenue,total_sales,find complete overall revenue
Could you show the profit by category?,category_profit,could you show the profit by category
Explain profit by year.,yearly_profit,explain profit by year
Display complete mean sales.,average_sales,display complete mean sales
Find number of orders.,order_count,find number of orders
Give me worst profit product.,lowest_profit_product,give me worst profit product
Kindly display the category profit.,category_profit,kindly display the category profit
Compute all average income,average_sales,compute all average income
Reveal overall best performing states,top_states,reveal overall best performing states
Kindly display the category profit performance.,category_profit,kindly display the category profit performance
Analyze the least selling products.,bottom_products,analyze the least selling products
Give the stock overview,inventory_summary,give the stock overview
Show insights for bottom cities.,bottom_cities,show insights for bottom cities
Present the bottom states.,bottom_states,present the bottom states
Analyze the best cities.,top_cities,analyze the best cities
Kindly analyze the sales across subcategories.,sales_by_subcategory,kindly analyze the sales across subcategories
Reveal city performance.,bottom_cities,reveal city performance
Kindly provide the monthly business sales.,monthly_sales,kindly provide the monthly business sales
Generate subcategory wise sales.,sales_by_subcategory,generate subcategory wise sales
Provide complete average income,average_profit,provide complete average income
Can you show the executive summary?,dashboard_summary,can you show the executive summary
Tell me the mean profit,average_profit,tell me the mean profit
Can I see the average revenue?,average_sales,can i see the average revenue
Please calculate the bottom 10 products.,bottom_products,please calculate the bottom 10 products
Could you reveal the sales by year?,yearly_sales,could you reveal the sales by year
Can you find profit by category?,category_profit,can you find profit by category
Kindly provide the bottom cities.,bottom_cities,kindly provide the bottom cities
How much is the category sales?,sales_by_category,how much is the category sales
Give me the yearly sales.,yearly_sales,give me the yearly sales
Generate the best region.,best_region,generate the best region
Can you provide the profit by region?,region_profit,can you provide the profit by region
Fetch the category wise sales.,sales_by_category,fetch the category wise sales
Can you find the mean profit?,average_profit,can you find the mean profit
Can you calculate annual sales?,yearly_sales,can you calculate annual sales
View most valuable customers.,top_customers,view most valuable customers
Review bottom states.,bottom_states,review bottom states
Analyze performance of profit average.,average_profit,analyze performance of profit average
I need discount offered.,discount_analysis,i need discount offered
Generate the lowest earning product.,lowest_profit_product,generate the lowest earning product
Please display monthly revenue.,monthly_sales,please display monthly revenue
Can you compare the sales by category?,sales_by_category,can you compare the sales by category
Find overall total customer orders,order_count,find overall total customer orders
Reveal sales across categories,sales_by_category,reveal sales across categories
Can you find product quantities?,quantity_analysis,can you find product quantities
Find all lowest performing region,worst_region,find all lowest performing region
Reveal discount offered.,discount_analysis,reveal discount offered
Can you provide bottom 10 customers?,bottom_customers,can you provide bottom 10 customers
Kindly provide the total customer orders.,order_count,kindly provide the total customer orders
Kindly reveal the lowest spending customers.,bottom_customers,kindly reveal the lowest spending customers
Can you find the top profit product?,highest_profit_product,can you find the top profit product
Can you analyze the sales quantity?,quantity_analysis,can you analyze the sales quantity
Calculate the monthly business profit,monthly_profit,calculate the monthly business profit
Show all product quantities,quantity_analysis,show all product quantities
Display latest city performance.,bottom_cities,display latest city performance
Please provide highest spending customers.,top_customers,please provide highest spending customers
Please provide least profitable region.,worst_region,please provide least profitable region
Could you show the best profit item?,highest_profit_product,could you show the best profit item
Analyze complete yearly sales,yearly_sales,analyze complete yearly sales
Can you show the best region?,best_region,can you show the best region
Find ship mode analysis.,shipping_analysis,find ship mode analysis
Display overall highest spending customers,top_customers,display overall highest spending customers
Show inventory report,inventory_summary,show inventory report
Find complete total sales,total_sales,find complete total sales
Give complete bottom 10 products,bottom_products,give complete bottom 10 products
Can you calculate the overall customers?,customer_count,can you calculate the overall customers
Present the least profitable product.,lowest_profit_product,present the least profitable product
Please identify highest spending customers.,top_customers,please identify highest spending customers
Show the annual sales,yearly_sales,show the annual sales
What is discount analysis?,discount_analysis,what is discount analysis
Find overall top profit product,highest_profit_product,find overall top profit product
I'd like to know year wise sales.,yearly_sales,id like to know year wise sales
Could you calculate the average sales amount?,average_sales,could you calculate the average sales amount
Give complete executive summary,dashboard_summary,give complete executive summary
Kindly display the annual sales.,yearly_sales,kindly display the annual sales
Show insights for profit increase.,profit_growth,show insights for profit increase
Can you provide the sales average?,average_sales,can you provide the sales average
Give the average turnover,average_sales,give the average turnover
Calculate complete average net profit,average_profit,calculate complete average net profit
Tell me the top profit product.,highest_profit_product,tell me the top profit product
Create business overview,dashboard_summary,create business overview
I would like region wise profit.,region_profit,i would like region wise profit
Reveal profit across regions.,region_profit,reveal profit across regions
Generate a report for most profitable product.,highest_profit_product,generate a report for most profitable product
Provide detailed total quantity.,quantity_analysis,provide detailed total quantity
Compare premium customers.,top_customers,compare premium customers
I need the customer segment sales.,sales_by_segment,i need the customer segment sales
Show mean profit,average_profit,show mean profit
Show me the total customers.,customer_count,show me the total customers
Can I see the profit average?,average_profit,can i see the profit average
List complete least popular products,bottom_products,list complete least popular products
Please calculate average business profit.,average_profit,please calculate average business profit
Could you tell me the overall earnings?,total_profit,could you tell me the overall earnings
Could you provide the yearly profit?,yearly_profit,could you provide the yearly profit
Display the overall discount.,discount_analysis,display the overall discount
Kindly show the highest profit product.,highest_profit_product,kindly show the highest profit product
Provide all bottom cities,bottom_cities,provide all bottom cities
Please calculate the highest spending customers.,top_customers,please calculate the highest spending customers
How much is the best sales region?,best_region,how much is the best sales region
Summarize the company profit.,total_profit,summarize the company profit
Provide complete premium customers,top_customers,provide complete premium customers
Generate a report for most valuable customers.,top_customers,generate a report for most valuable customers
Can you compute the average sales?,average_sales,can you compute the average sales
Show all least profitable product,lowest_profit_product,show all least profitable product
Analyze earnings growth,profit_growth,analyze earnings growth
How much is highest profit product?,highest_profit_product,how much is highest profit product
Kindly reveal the subcategory wise sales.,sales_by_subcategory,kindly reveal the subcategory wise sales
Can you find the profit trend?,profit_growth,can you find the profit trend
Please compute average profit.,average_profit,please compute average profit
Show sales by segment,sales_by_segment,show sales by segment
Find the bottom products.,bottom_products,find the bottom products
Give the average business sales,average_sales,give the average business sales
Give me the sales for each category.,sales_by_category,give me the sales for each category
Compute mean profit,average_profit,compute mean profit
Could you show the monthly revenue?,monthly_sales,could you show the monthly revenue
Provide complete year wise profit,yearly_profit,provide complete year wise profit
Generate a report for quantity analysis.,quantity_analysis,generate a report for quantity analysis
Analyze performance of registered customers.,customer_count,analyze performance of registered customers
Provide the overall earnings.,total_profit,provide the overall earnings
Display latest best region.,best_region,display latest best region
Can you display number of customers?,customer_count,can you display number of customers
Show overall sales by year,yearly_sales,show overall sales by year
What is best customers?,top_customers,what is best customers
Can you provide most profitable product?,highest_profit_product,can you provide most profitable product
Inspect premium customers.,top_customers,inspect premium customers
Create dashboard for discount offered.,discount_analysis,create dashboard for discount offered
Analyze bottom customers.,bottom_customers,analyze bottom customers
Could you find the average income?,average_profit,could you find the average income
Review monthly sales.,monthly_sales,review monthly sales
Could you reveal the lowest profit product?,lowest_profit_product,could you reveal the lowest profit product
Summarize the business overview.,dashboard_summary,summarize the business overview
Analyze complete quantity sold,quantity_analysis,analyze complete quantity sold
Display overall average net profit,average_profit,display overall average net profit
Kindly show the mean sales.,average_sales,kindly show the mean sales
Reveal the annual revenue,yearly_sales,reveal the annual revenue
Could you find the bottom 10 customers?,bottom_customers,could you find the bottom 10 customers
Create a report for total sales.,total_sales,create a report for total sales
Fetch the customer segment sales.,sales_by_segment,fetch the customer segment sales
Could you calculate the discount analysis?,discount_analysis,could you calculate the discount analysis
Can you find the highest performing region?,best_region,can you find the highest performing region
I would like average income.,average_profit,i would like average income
View overall average turnover,average_sales,view overall average turnover
Could you provide the profit across regions?,region_profit,could you provide the profit across regions
Create a report for sales for each category.,sales_by_category,create a report for sales for each category
Explain company profit.,total_profit,explain company profit
Please display the category profit performance.,category_profit,please display the category profit performance
Reveal category profit.,category_profit,reveal category profit
Generate a report for monthly sales.,monthly_sales,generate a report for monthly sales
Summarize total sales.,total_sales,summarize total sales
Display latest sales by category.,sales_by_category,display latest sales by category
Analyze performance of sales growth.,sales_growth,analyze performance of sales growth
I'd like to know the least profitable region.,worst_region,id like to know the least profitable region
I'd like to know the most profitable region.,best_region,id like to know the most profitable region
Display the total sales.,total_sales,display the total sales
Analyze performance of sales by segment.,sales_by_segment,analyze performance of sales by segment
I'd like the least valuable customers.,bottom_customers,id like the least valuable customers
Could you provide the least selling products?,bottom_products,could you provide the least selling products
Can I see the bottom 10 products?,bottom_products,can i see the bottom 10 products
Compare the subcategory sales,sales_by_subcategory,compare the subcategory sales
Reveal all total earnings,total_profit,reveal all total earnings
Kindly show the monthly sales.,monthly_sales,kindly show the monthly sales
Can I see the month wise profit?,monthly_profit,can i see the month wise profit
Reveal complete regional profit,region_profit,reveal complete regional profit
Can I see month wise profit?,monthly_profit,can i see month wise profit
Create a report for subcategory sales.,sales_by_subcategory,create a report for subcategory sales
I would like top region.,best_region,i would like top region
Display the bottom customers,bottom_customers,display the bottom customers
Display sales by category.,sales_by_category,display sales by category
Explain the company profit.,total_profit,explain the company profit
I want the average business profit.,average_profit,i want the average business profit
Kindly give the subcategory wise sales.,sales_by_subcategory,kindly give the subcategory wise sales
Identify complete top profit product,highest_profit_product,identify complete top profit product
Summarize the top states.,top_states,summarize the top states
Give overall premium customers,top_customers,give overall premium customers
Kindly display the discount percentage.,discount_analysis,kindly display the discount percentage
Can you give the grand total sales?,total_sales,can you give the grand total sales
Can I see least valuable customers?,bottom_customers,can i see least valuable customers
Inspect total customer orders.,order_count,inspect total customer orders
Present the worst performing cities.,bottom_cities,present the worst performing cities
View executive summary.,dashboard_summary,view executive summary
Find the category profit.,category_profit,find the category profit
Kindly calculate the profit average.,average_profit,kindly calculate the profit average
Please display product quantities.,quantity_analysis,please display product quantities
Can you show annual revenue?,yearly_sales,can you show annual revenue
Summarize the most profitable product.,highest_profit_product,summarize the most profitable product
Summarize the average revenue.,average_sales,summarize the average revenue
Provide the net profit.,total_profit,provide the net profit
Please display the lowest performing region.,worst_region,please display the lowest performing region
Could you compare the region wise profit?,region_profit,could you compare the region wise profit
Could you show the top customers?,top_customers,could you show the top customers
Reveal all monthly revenue,monthly_sales,reveal all monthly revenue
Provide overall growth in sales,sales_growth,provide overall growth in sales
Display least popular products,bottom_products,display least popular products
Find the profit by category,category_profit,find the profit by category
Display all best sales region,best_region,display all best sales region
Please calculate the subcategory performance.,sales_by_subcategory,please calculate the subcategory performance
Fetch stock overview.,inventory_summary,fetch stock overview
Reveal the least valuable customers,bottom_customers,reveal the least valuable customers
Display the city performance.,top_cities,display the city performance
Analyze overall quantity analysis,quantity_analysis,analyze overall quantity analysis
Please find least profitable region.,worst_region,please find least profitable region
I'd like the worst products.,bottom_products,id like the worst products
Display all monthly business profit,monthly_profit,display all monthly business profit
Can you calculate the month wise profit?,monthly_profit,can you calculate the month wise profit
Kindly give the average income.,average_sales,kindly give the average income
Show best cities,top_cities,show best cities
Please calculate the number of orders.,order_count,please calculate the number of orders
Can you list best performing states?,top_states,can you list best performing states
Could you identify the highest profit product?,highest_profit_product,could you identify the highest profit product
Display complete mean profit.,average_profit,display complete mean profit
Kindly provide the profit by month.,monthly_profit,kindly provide the profit by month
Can you reveal category wise profit?,category_profit,can you reveal category wise profit
Fetch the mean sales.,average_sales,fetch the mean sales
Can you show the discount percentage?,discount_analysis,can you show the discount percentage
Display all sales by month,monthly_sales,display all sales by month
Summarize month wise profit.,monthly_profit,summarize month wise profit
Compare the segment sales,sales_by_segment,compare the segment sales
What is the total sales?,total_sales,what is the total sales
Generate the dashboard summary.,dashboard_summary,generate the dashboard summary
Display the lowest profit product,lowest_profit_product,display the lowest profit product
Provide all monthly business sales,monthly_sales,provide all monthly business sales
Find overall discount analysis,discount_analysis,find overall discount analysis
Give me monthly business profit.,monthly_profit,give me monthly business profit
Find overall best profit item,highest_profit_product,find overall best profit item
Analyze performance of yearly profit.,yearly_profit,analyze performance of yearly profit
I need year wise sales.,yearly_sales,i need year wise sales
I want the subcategory performance.,sales_by_subcategory,i want the subcategory performance
How much is the overall profit?,total_profit,how much is the overall profit
Show latest best customers.,top_customers,show latest best customers
Present the category wise sales.,sales_by_category,present the category wise sales
Create dashboard for worst performing states.,bottom_states,create dashboard for worst performing states
Could you provide the business sales?,total_sales,could you provide the business sales
Show insights for average income.,average_profit,show insights for average income
Present the profit across categories.,category_profit,present the profit across categories
Give the bottom products,bottom_products,give the bottom products
Provide the average sales amount,average_sales,provide the average sales amount
Display average business sales.,average_sales,display average business sales
Please calculate overall dashboard.,dashboard_summary,please calculate overall dashboard
How much is the city performance?,top_cities,how much is the city performance
Tell me customer count.,customer_count,tell me customer count
Explain the top region.,best_region,explain the top region
Inspect most profitable product.,highest_profit_product,inspect most profitable product
Display overall earnings.,total_profit,display overall earnings
Provide the average discount.,discount_analysis,provide the average discount
Give me the profit by year.,yearly_profit,give me the profit by year
Show overall highest spending customers,top_customers,show overall highest spending customers
Plot lowest sales cities.,bottom_cities,plot lowest sales cities
Inspect overall earnings.,total_profit,inspect overall earnings
Please find segment performance.,sales_by_segment,please find segment performance
Find the segment wise sales,sales_by_segment,find the segment wise sales
Analyze overall annual profit,yearly_profit,analyze overall annual profit
Review least profitable product.,lowest_profit_product,review least profitable product
Analyze the sales by segment.,sales_by_segment,analyze the sales by segment
Identify best sales region,best_region,identify best sales region
I'd like the overall earnings.,total_profit,id like the overall earnings
Kindly display the average business profit.,average_profit,kindly display the average business profit
Display the best customers.,top_customers,display the best customers
Could you provide the discount offered?,discount_analysis,could you provide the discount offered
Can you list top states?,top_states,can you list top states
Compare total quantity.,quantity_analysis,compare total quantity
Compute overall average revenue,average_sales,compute overall average revenue
Give complete total customers.,customer_count,give complete total customers
Could you tell me the overall revenue?,total_sales,could you tell me the overall revenue
Can you calculate the sales growth?,sales_growth,can you calculate the sales growth
What is total customer orders?,order_count,what is total customer orders
Reveal all sales by month,monthly_sales,reveal all sales by month
Show overall segment wise sales,sales_by_segment,show overall segment wise sales
Tell me complete average net profit,average_profit,tell me complete average net profit
Find average revenue.,average_sales,find average revenue
Please find total customers.,customer_count,please find total customers
Display latest shipping mode.,shipping_analysis,display latest shipping mode
Give category performance,sales_by_category,give category performance
Provide the average business profit.,average_profit,provide the average business profit
Can you provide the average business profit?,average_profit,can you provide the average business profit
Please show business growth.,sales_growth,please show business growth
Show all mean profit,average_profit,show all mean profit
Show customer segment sales,sales_by_segment,show customer segment sales
I need highest performing region.,best_region,i need highest performing region
Kindly identify the top region.,best_region,kindly identify the top region
Can you calculate the average revenue?,average_sales,can you calculate the average revenue
Generate the least valuable customers.,bottom_customers,generate the least valuable customers
What is the sales across subcategories?,sales_by_subcategory,what is the sales across subcategories
I need overall customers.,customer_count,i need overall customers
Compare average turnover.,average_sales,compare average turnover
Give me average revenue.,average_sales,give me average revenue
Analyze the lowest sales states.,bottom_states,analyze the lowest sales states
Tell me overall business sales,total_sales,tell me overall business sales
Can you display the profit average?,average_profit,can you display the profit average
Find order count,order_count,find order count
Find overall highest profit product,highest_profit_product,find overall highest profit product
Can you reveal the average business sales?,average_sales,can you reveal the average business sales
Can I see bottom products?,bottom_products,can i see bottom products
Analyze sales by category.,sales_by_category,analyze sales by category
Please display the growth in profit.,profit_growth,please display the growth in profit
Can you display the highest spending customers?,top_customers,can you display the highest spending customers
Display all inventory report,inventory_summary,display all inventory report
Present the worst profit product.,lowest_profit_product,present the worst profit product
What is lowest earning product?,lowest_profit_product,what is lowest earning product
Can you show the average revenue?,average_sales,can you show the average revenue
Identify the inactive customers,bottom_customers,identify the inactive customers
View the sales across categories.,sales_by_category,view the sales across categories
Compute overall overall earnings,total_profit,compute overall overall earnings
Give detailed lowest sales region.,worst_region,give detailed lowest sales region
I'd like to know subcategory sales.,sales_by_subcategory,id like to know subcategory sales
Could you generate the stock summary?,inventory_summary,could you generate the stock summary
Analyze performance of month wise sales.,monthly_sales,analyze performance of month wise sales
Find worst products,bottom_products,find worst products
Kindly display the customer segment sales.,sales_by_segment,kindly display the customer segment sales
Can you show the city performance?,bottom_cities,can you show the city performance
Give business sales,total_sales,give business sales
Present profit trend.,profit_growth,present profit trend
Present worst products.,bottom_products,present worst products
Display overall inventory summary,inventory_summary,display overall inventory summary
Kindly display the region profit performance.,region_profit,kindly display the region profit performance
Can you give the customer count?,customer_count,can you give the customer count
What is the grand total profit?,total_profit,what is the grand total profit
Show the top 10 customers,top_customers,show the top 10 customers
Display complete executive summary,dashboard_summary,display complete executive summary
Compute overall grand total profit,total_profit,compute overall grand total profit
Show me sales by subcategory.,sales_by_subcategory,show me sales by subcategory
Can you reveal monthly earnings?,monthly_profit,can you reveal monthly earnings
Display latest bottom 10 customers.,bottom_customers,display latest bottom 10 customers
Reveal the category wise sales.,sales_by_category,reveal the category wise sales
Calculate total customers,customer_count,calculate total customers
Can you reveal the least selling products?,bottom_products,can you reveal the least selling products
Present the bottom 10 customers.,bottom_customers,present the bottom 10 customers
I need the worst products.,bottom_products,i need the worst products
Explain the earnings growth.,profit_growth,explain the earnings growth
View the best performing states.,top_states,view the best performing states
Give complete premium customers,top_customers,give complete premium customers
Display the overall dashboard.,dashboard_summary,display the overall dashboard
Could you find the lowest sales states?,bottom_states,could you find the lowest sales states
Find overall earnings.,total_profit,find overall earnings
How much is the mean profit?,average_profit,how much is the mean profit
How much is monthly business sales?,monthly_sales,how much is monthly business sales
Show overall profit across regions,region_profit,show overall profit across regions
Display overall subcategory performance,sales_by_subcategory,display overall subcategory performance
Calculate complete monthly sales,monthly_sales,calculate complete monthly sales
Please find segment wise sales.,sales_by_segment,please find segment wise sales
Show latest segment sales.,sales_by_segment,show latest segment sales
View the best customers.,top_customers,view the best customers
Give grand total profit,total_profit,give grand total profit
Please show total sales.,total_sales,please show total sales
Explain yearly sales.,yearly_sales,explain yearly sales
I need quantity sold.,quantity_analysis,i need quantity sold
Reveal complete sales by category,sales_by_category,reveal complete sales by category
Could you identify the worst region?,worst_region,could you identify the worst region
Plot yearly sales.,yearly_sales,plot yearly sales
Can you calculate overall revenue?,total_sales,can you calculate overall revenue
Kindly show the total revenue.,total_sales,kindly show the total revenue
I need least profitable cities.,bottom_cities,i need least profitable cities
Fetch category wise profit.,category_profit,fetch category wise profit
Summarize the worst performing cities.,bottom_cities,summarize the worst performing cities
What is bottom 10 products?,bottom_products,what is bottom 10 products
Give complete business summary.,dashboard_summary,give complete business summary
Please show category profit performance.,category_profit,please show category profit performance
Review region profit performance.,region_profit,review region profit performance
Display latest lowest sales cities.,bottom_cities,display latest lowest sales cities
Compute all average net profit,average_profit,compute all average net profit
Fetch overall revenue.,total_sales,fetch overall revenue
I'd like to know yearly sales.,yearly_sales,id like to know yearly sales
Show insights for executive summary.,dashboard_summary,show insights for executive summary
Plot least profitable states.,bottom_states,plot least profitable states
Display all year wise sales,yearly_sales,display all year wise sales
Visualize business growth.,sales_growth,visualize business growth
Please find top selling cities.,top_cities,please find top selling cities
